track_name,track_artist,mood,track_popularity,energy,tempo,danceability,loudness,liveness,valence,speechiness,instrumentalness,mode,key,duration_ms,acousticness,track_popularity
Running Wild,Jin,angry,85,0.711,146.921,0.487,-4.22,0.152,0.317,0.0322,0.0,1,8,151647,0.000175,85
+57,"KAROL G, Feid, DFZM, Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd",happy,84,0.712,91.98,0.848,-3.574,0.106,0.692,0.0981,0.0,0,1,298131,0.221,84
Embrace It,Ndotz,happy,87,0.645,114.933,0.882,-7.233,0.057,0.788,0.0601,4.13e-05,1,1,104419,0.475,87
The Emptiness Machine,Linkin Park,happy,89,0.872,184.115,0.466,-3.344,0.121,0.806,0.0336,0.0,1,7,190428,0.0156,89
Who,Jimin,happy,92,0.756,116.034,0.66,-3.743,0.193,0.838,0.032,0.0,0,0,170888,0.00289,92
Hotel California - 2013 Remaster,Eagles,romantic,81,0.508,147.125,0.579,-9.484,0.0575,0.609,0.027,0.000494,1,2,391376,0.00574,81
Thunderstruck,AC/DC,hype,83,0.89,133.52,0.502,-5.175,0.217,0.259,0.0364,0.0117,1,4,292880,0.000147,83
Seven Nation Army,The White Stripes,sad,82,0.446,123.596,0.743,-7.807,0.337,0.278,0.0683,0.118,0,4,232107,0.0039,82
Creep,Radiohead,sad,86,0.43,91.844,0.515,-9.935,0.129,0.104,0.0372,0.000133,1,7,238640,0.0097,86
Come As You Are,Nirvana,hype,76,0.824,120.125,0.5,-5.846,0.0916,0.539,0.0388,0.00161,0,4,218920,0.00016,76
Californication,Red Hot Chili Peppers,angry,81,0.767,96.483,0.592,-2.788,0.127,0.328,0.027,0.00165,0,9,329733,0.0021,81
Sweet Child O' Mine,Guns N' Roses,hype,84,0.952,125.304,0.445,-5.321,0.112,0.624,0.0522,0.0843,1,6,356067,0.09,84
"Paint It, Black",The Rolling Stones,other,81,0.795,158.691,0.464,-9.267,0.399,0.612,0.0926,0.00244,1,1,202267,0.0493,81
Dreams - 2004 Remaster,Fleetwood Mac,other,84,0.492,120.151,0.828,-9.744,0.128,0.789,0.0276,0.00428,1,0,257800,0.0644,84
Everlong,Foo Fighters,hype,81,0.881,158.066,0.413,-5.541,0.0805,0.364,0.0367,0.000308,0,11,250547,5.99e-05,81
I Love Rock 'N Roll,Joan Jett & the Blackhearts,happy,77,0.716,94.379,0.535,-5.025,0.659,0.901,0.0431,0.0,1,4,175173,0.326,77
Dust in the Wind,Kansas,other,79,0.322,93.503,0.475,-10.687,0.11,0.387,0.0283,0.00056,1,7,206267,0.367,79
"Another Brick in the Wall, Pt. 2",Pink Floyd,romantic,74,0.394,104.114,0.693,-15.882,0.247,0.721,0.0428,0.000694,1,0,238747,0.0782,74
